x	S(x),tau=0(buckley)	S(x),tau=0.001	S(x),tau=0.01	S(x),tau=0.1	S(x),tau=1.0	S(x),tau=10.0	xi(x),tau=0.001	xi(x),tau=0.01	xi(x),tau=0.1	xi(x),tau=1.0	xi(x),tau=10.0	
0.1156	0.8707	0.8669	0.8367	0.6519	0.4848	0.4656	0.1335	0.1684	0.4724	0.9006	0.9891	
0.1206	0.8665	0.8625	0.8318	0.6466	0.4828	0.4642	0.1379	0.1735	0.4783	0.9017	0.9892	
0.1256	0.8623	0.8582	0.8269	0.6414	0.4808	0.4627	0.1422	0.1785	0.4840	0.9028	0.9894	
0.1307	0.8582	0.8540	0.8221	0.6363	0.4789	0.4613	0.1464	0.1835	0.4897	0.9040	0.9895	
0.1357	0.8542	0.8498	0.8174	0.6312	0.4770	0.4599	0.1506	0.1884	0.4953	0.9051	0.9896	
0.1407	0.8503	0.8457	0.8127	0.6263	0.4751	0.4586	0.1547	0.1932	0.5008	0.9062	0.9897	
0.1457	0.8464	0.8417	0.8080	0.6214	0.4732	0.4572	0.1588	0.1980	0.5062	0.9073	0.9899	
0.1508	0.8425	0.8377	0.8034	0.6166	0.4714	0.4559	0.1628	0.2027	0.5115	0.9083	0.9900	
0.1558	0.8388	0.8337	0.7989	0.6119	0.4696	0.4545	0.1668	0.2075	0.5168	0.9094	0.9901	
0.1608	0.8350	0.8298	0.7943	0.6072	0.4678	0.4532	0.1707	0.2122	0.5221	0.9104	0.9902	
0.1658	0.8313	0.8259	0.7898	0.6026	0.4661	0.4519	0.1746	0.2169	0.5273	0.9115	0.9903	
0.1709	0.8277	0.8221	0.7853	0.5980	0.4643	0.4506	0.1784	0.2215	0.5324	0.9125	0.9904	
0.1759	0.8240	0.8183	0.7809	0.5935	0.4626	0.4494	0.1822	0.2262	0.5375	0.9135	0.9905	
0.1809	0.8205	0.8145	0.7764	0.5891	0.4610	0.4481	0.1860	0.2308	0.5426	0.9145	0.9907	
0.1859	0.8169	0.8107	0.7719	0.5846	0.4593	0.4469	0.1898	0.2355	0.5476	0.9155	0.9908	
0.1910	0.8134	0.8070	0.7675	0.5803	0.4576	0.4457	0.1935	0.2401	0.5526	0.9165	0.9909	
0.1960	0.8100	0.8034	0.7630	0.5759	0.4560	0.4445	0.1972	0.2448	0.5576	0.9175	0.9910	
0.2010	0.8065	0.7997	0.7586	0.5717	0.4544	0.4433	0.2009	0.2495	0.5625	0.9184	0.9911	
0.2060	0.8031	0.7960	0.7541	0.5674	0.4528	0.4421	0.2045	0.2543	0.5674	0.9194	0.9912	
0.2111	0.7997	0.7924	0.7496	0.5632	0.4512	0.4409	0.2082	0.2590	0.5723	0.9203	0.9913	
0.2161	0.7964	0.7888	0.7450	0.5590	0.4497	0.4397	0.2118	0.2638	0.5772	0.9213	0.9914	
0.2211	0.7931	0.7852	0.7404	0.5548	0.4481	0.4386	0.2154	0.2687	0.5820	0.9222	0.9915	
0.2261	0.7898	0.7816	0.7358	0.5506	0.4466	0.4375	0.2190	0.2736	0.5868	0.9232	0.9916	
0.2312	0.7865	0.7780	0.7312	0.5465	0.4451	0.4363	0.2226	0.2787	0.5916	0.9241	0.9917	
0.2362	0.7832	0.7744	0.7264	0.5424	0.4436	0.4352	0.2262	0.2837	0.5964	0.9250	0.9918	
0.2412	0.7800	0.7708	0.7216	0.5383	0.4421	0.4341	0.2299	0.2889	0.6012	0.9259	0.9919	
0.2462	0.7767	0.7672	0.7168	0.5343	0.4406	0.4330	0.2335	0.2942	0.6060	0.9268	0.9920	
0.2513	0.7735	0.7636	0.7118	0.5302	0.4392	0.4319	0.2371	0.2997	0.6107	0.9278	0.9921	
0.2563	0.7703	0.7600	0.7067	0.5262	0.4377	0.4308	0.2407	0.3052	0.6155	0.9287	0.9922	
0.2613	0.7671	0.7563	0.7015	0.5222	0.4363	0.4297	0.2444	0.3110	0.6202	0.9295	0.9923	
0.2663	0.7639	0.7527	0.6962	0.5182	0.4348	0.4287	0.2481	0.3169	0.6250	0.9304	0.9924	
0.2714	0.7607	0.7489	0.6907	0.5142	0.4334	0.4276	0.2518	0.3230	0.6297	0.9313	0.9925	
0.2764	0.7576	0.7452	0.6851	0.5102	0.4320	0.4266	0.2556	0.3294	0.6344	0.9322	0.9926	
0.2814	0.7544	0.7414	0.6793	0.5063	0.4306	0.4255	0.2595	0.3360	0.6392	0.9331	0.9927	
0.2864	0.7512	0.7374	0.6733	0.5023	0.4292	0.4245	0.2634	0.3429	0.6439	0.9339	0.9928	
0.2915	0.7480	0.7334	0.6670	0.4983	0.4278	0.4235	0.2675	0.3501	0.6486	0.9348	0.9929	
0.2965	0.7448	0.7293	0.6605	0.4944	0.4265	0.4225	0.2717	0.3577	0.6534	0.9357	0.9930	
0.3015	0.7416	0.7249	0.6536	0.4905	0.4251	0.4214	0.2761	0.3657	0.6581	0.9365	0.9931	
0.3065	0.7384	0.7204	0.6465	0.4865	0.4237	0.4204	0.2807	0.3742	0.6629	0.9374	0.9932	
0.3116	0.7352	0.7156	0.6390	0.4826	0.4224	0.4194	0.2857	0.3832	0.6676	0.9382	0.9933	
0.3166	0.7319	0.7103	0.6310	0.4786	0.4211	0.4185	0.2910	0.3928	0.6724	0.9391	0.9934	
0.3216	0.7285	0.7046	0.6226	0.4747	0.4197	0.4175	0.2970	0.4030	0.6771	0.9399	0.9935	
0.3266	0.7250	0.6982	0.6137	0.4708	0.4184	0.4165	0.3036	0.4139	0.6819	0.9408	0.9936	
0.3317	0.7213	0.6908	0.6042	0.4668	0.4171	0.4155	0.3113	0.4258	0.6867	0.9416	0.9937	
0.3367	0.7172	0.6821	0.5941	0.4629	0.4158	0.4146	0.3205	0.4385	0.6915	0.9424	0.9937	
0.3417	0.7125	0.6715	0.5832	0.4590	0.4145	0.4136	0.3319	0.4523	0.6963	0.9433	0.9938	
0.3467	0.7062	0.6579	0.5714	0.4550	0.4132	0.4126	0.3466	0.4674	0.7011	0.9441	0.9939	
0.3518	0.6961	0.6397	0.5588	0.4511	0.4119	0.4117	0.3665	0.4838	0.7059	0.9449	0.9940	
0.3568	0.6734	0.6140	0.5450	0.4471	0.4106	0.4108	0.3951	0.5017	0.7108	0.9457	0.9941	
0.3618	0.5751	0.5757	0.5301	0.4432	0.4094	0.4098	0.4386	0.5214	0.7157	0.9465	0.9942	
0.3668	0.1987	0.5155	0.5137	0.4392	0.4081	0.4089	0.5089	0.5431	0.7205	0.9473	0.9943	
0.3719	0.0008	0.4126	0.4959	0.4352	0.4069	0.4080	0.6249	0.5671	0.7254	0.9482	0.9944	
0.3769	0.0000	0.2174	0.4762	0.4313	0.4056	0.4070	0.8594	0.5936	0.7303	0.9490	0.9945	
0.3819	0.0000	0.0054	0.4545	0.4273	0.4044	0.4061	0.9976	0.6230	0.7353	0.9498	0.9946	
0.3869	0.0000	0.0000	0.4306	0.4233	0.4031	0.4052	1.0000	0.6556	0.7402	0.9506	0.9946	
0.3920	0.0000	0.0000	0.4040	0.4193	0.4019	0.4043	1.0000	0.6919	0.7452	0.9514	0.9947	
0.3970	0.0000	0.0000	0.3744	0.4152	0.4007	0.4034	1.0000	0.7322	0.7502	0.9522	0.9948	
0.4020	0.0000	0.0000	0.3413	0.4112	0.3994	0.4025	1.0000	0.7770	0.7552	0.9530	0.9949	
0.4070	0.0000	0.0000	0.3042	0.4072	0.3982	0.4016	1.0000	0.8267	0.7602	0.9537	0.9950	
0.4121	0.0000	0.0000	0.2627	0.4031	0.3970	0.4007	1.0000	0.8815	0.7653	0.9545	0.9951	
0.4171	0.0000	0.0000	0.2104	0.3990	0.3958	0.3998	1.0000	0.9415	0.7703	0.9553	0.9952	
0.4221	0.0000	0.0000	0.0821	0.3950	0.3946	0.3989	1.0000	0.9906	0.7754	0.9561	0.9952	
0.4271	0.0000	0.0000	0.0015	0.3908	0.3934	0.3981	1.0000	0.9999	0.7805	0.9569	0.9953	
0.4322	0.0000	0.0000	0.0000	0.3867	0.3922	0.3972	1.0000	1.0000	0.7857	0.9577	0.9954	
0.4372	0.0000	0.0000	0.0000	0.3826	0.3910	0.3963	1.0000	1.0000	0.7909	0.9584	0.9955	
0.4422	0.0000	0.0000	0.0000	0.3784	0.3898	0.3954	1.0000	1.0000	0.7961	0.9592	0.9956	
0.4472	0.0000	0.0000	0.0000	0.3743	0.3887	0.3946	1.0000	1.0000	0.8013	0.9600	0.9957	
0.4523	0.0000	0.0000	0.0000	0.3701	0.3875	0.3937	1.0000	1.0000	0.8065	0.9607	0.9958	
0.4573	0.0000	0.0000	0.0000	0.3659	0.3863	0.3928	1.0000	1.0000	0.8118	0.9615	0.9958	
0.4623	0.0000	0.0000	0.0000	0.3616	0.3852	0.3920	1.0000	1.0000	0.8171	0.9623	0.9959	
0.4673	0.0000	0.0000	0.0000	0.3574	0.3840	0.3911	1.0000	1.0000	0.8225	0.9630	0.9960	
0.4724	0.0000	0.0000	0.0000	0.3531	0.3828	0.3903	1.0000	1.0000	0.8278	0.9638	0.9961	
0.4774	0.0000	0.0000	0.0000	0.3488	0.3817	0.3894	1.0000	1.0000	0.8332	0.9646	0.9962	
0.4824	0.0000	0.0000	0.0000	0.3445	0.3805	0.3886	1.0000	1.0000	0.8387	0.9653	0.9962	
0.4874	0.0000	0.0000	0.0000	0.3401	0.3794	0.3878	1.0000	1.0000	0.8441	0.9661	0.9963	
0.4925	0.0000	0.0000	0.0000	0.3357	0.3782	0.3869	1.0000	1.0000	0.8496	0.9668	0.9964	
0.4975	0.0000	0.0000	0.0000	0.3313	0.3771	0.3861	1.0000	1.0000	0.8551	0.9676	0.9965	
0.5025	0.0000	0.0000	0.0000	0.3269	0.3760	0.3852	1.0000	1.0000	0.8607	0.9683	0.9966	
0.5075	0.0000	0.0000	0.0000	0.3225	0.3748	0.3844	1.0000	1.0000	0.8663	0.9691	0.9967	
0.5126	0.0000	0.0000	0.0000	0.3180	0.3737	0.3836	1.0000	1.0000	0.8719	0.9698	0.9967	
0.5176	0.0000	0.0000	0.0000	0.3135	0.3726	0.3828	1.0000	1.0000	0.8776	0.9706	0.9968	
0.5226	0.0000	0.0000	0.0000	0.3089	0.3714	0.3819	1.0000	1.0000	0.8833	0.9713	0.9969	
0.5276	0.0000	0.0000	0.0000	0.3043	0.3703	0.3811	1.0000	1.0000	0.8890	0.9720	0.9970	
0.5327	0.0000	0.0000	0.0000	0.2997	0.3692	0.3803	1.0000	1.0000	0.8948	0.9728	0.9971	
0.5377	0.0000	0.0000	0.0000	0.2951	0.3681	0.3795	1.0000	1.0000	0.9006	0.9735	0.9971	
0.5427	0.0000	0.0000	0.0000	0.2904	0.3670	0.3786	1.0000	1.0000	0.9064	0.9743	0.9972	
0.5477	0.0000	0.0000	0.0000	0.2857	0.3659	0.3778	1.0000	1.0000	0.9123	0.9750	0.9973	
0.5528	0.0000	0.0000	0.0000	0.2810	0.3648	0.3770	1.0000	1.0000	0.9182	0.9757	0.9974	
0.5578	0.0000	0.0000	0.0000	0.2762	0.3637	0.3762	1.0000	1.0000	0.9241	0.9765	0.9974	
0.5628	0.0000	0.0000	0.0000	0.2713	0.3626	0.3754	1.0000	1.0000	0.9301	0.9772	0.9975	
0.5678	0.0000	0.0000	0.0000	0.2665	0.3615	0.3745	1.0000	1.0000	0.9361	0.9779	0.9976	
0.5729	0.0000	0.0000	0.0000	0.2616	0.3604	0.3737	1.0000	1.0000	0.9421	0.9786	0.9977	
0.5779	0.0000	0.0000	0.0000	0.2566	0.3593	0.3729	1.0000	1.0000	0.9482	0.9794	0.9978	
0.5829	0.0000	0.0000	0.0000	0.2517	0.3582	0.3721	1.0000	1.0000	0.9544	0.9801	0.9978	
0.5879	0.0000	0.0000	0.0000	0.2466	0.3571	0.3713	1.0000	1.0000	0.9605	0.9808	0.9979	
0.5930	0.0000	0.0000	0.0000	0.2416	0.3560	0.3705	1.0000	1.0000	0.9667	0.9815	0.9980	
0.5980	0.0000	0.0000	0.0000	0.2364	0.3549	0.3697	1.0000	1.0000	0.9730	0.9823	0.9981	
0.6030	0.0000	0.0000	0.0000	0.2313	0.3538	0.3688	1.0000	1.0000	0.9792	0.9830	0.9981	
0.6080	0.0000	0.0000	0.0000	0.2259	0.3527	0.3680	1.0000	1.0000	0.9855	0.9837	0.9982	
0.6131	0.0000	0.0000	0.0000	0.2162	0.3516	0.3672	1.0000	1.0000	0.9918	0.9844	0.9983	
0.6181	0.0000	0.0000	0.0000	0.1574	0.3506	0.3664	1.0000	1.0000	0.9975	0.9851	0.9984	
0.6231	0.0000	0.0000	0.0000	0.0187	0.3495	0.3656	1.0000	1.0000	0.9999	0.9858	0.9985	
0.6281	0.0000	0.0000	0.0000	0.0000	0.3484	0.3648	1.0000	1.0000	1.0000	0.9865	0.9985	
0.6332	0.0000	0.0000	0.0000	0.0000	0.3473	0.3639	1.0000	1.0000	1.0000	0.9873	0.9986	
0.6382	0.0000	0.0000	0.0000	0.0000	0.3462	0.3631	1.0000	1.0000	1.0000	0.9880	0.9987	
0.6432	0.0000	0.0000	0.0000	0.0000	0.3452	0.3623	1.0000	1.0000	1.0000	0.9887	0.9988	
0.6482	0.0000	0.0000	0.0000	0.0000	0.3441	0.3614	1.0000	1.0000	1.0000	0.9894	0.9988	
0.6533	0.0000	0.0000	0.0000	0.0000	0.3430	0.3606	1.0000	1.0000	1.0000	0.9901	0.9989	
0.6583	0.0000	0.0000	0.0000	0.0000	0.3419	0.3597	1.0000	1.0000	1.0000	0.9908	0.9990	
0.6633	0.0000	0.0000	0.0000	0.0000	0.3409	0.3588	1.0000	1.0000	1.0000	0.9915	0.9991	
0.6683	0.0000	0.0000	0.0000	0.0000	0.3398	0.3579	1.0000	1.0000	1.0000	0.9922	0.9991	
0.6734	0.0000	0.0000	0.0000	0.0000	0.3387	0.3570	1.0000	1.0000	1.0000	0.9929	0.9992	
0.6784	0.0000	0.0000	0.0000	0.0000	0.3376	0.3560	1.0000	1.0000	1.0000	0.9936	0.9993	
0.6834	0.0000	0.0000	0.0000	0.0000	0.3365	0.3550	1.0000	1.0000	1.0000	0.9943	0.9994	
0.6884	0.0000	0.0000	0.0000	0.0000	0.3355	0.3538	1.0000	1.0000	1.0000	0.9950	0.9994	
0.6935	0.0000	0.0000	0.0000	0.0000	0.3343	0.3526	1.0000	1.0000	1.0000	0.9957	0.9995	
0.6985	0.0000	0.0000	0.0000	0.0000	0.3331	0.3511	1.0000	1.0000	1.0000	0.9964	0.9996	
0.7035	0.0000	0.0000	0.0000	0.0000	0.3317	0.3491	1.0000	1.0000	1.0000	0.9971	0.9996	
0.7085	0.0000	0.0000	0.0000	0.0000	0.3296	0.3463	1.0000	1.0000	1.0000	0.9978	0.9997	
0.7136	0.0000	0.0000	0.0000	0.0000	0.3247	0.3418	1.0000	1.0000	1.0000	0.9984	0.9998	
0.7186	0.0000	0.0000	0.0000	0.0000	0.3092	0.3324	1.0000	1.0000	1.0000	0.9991	0.9999	
0.7236	0.0000	0.0000	0.0000	0.0000	0.2345	0.3054	1.0000	1.0000	1.0000	0.9997	0.9999	
0.7286	0.0000	0.0000	0.0000	0.0000	0.0434	0.1910	1.0000	1.0000	1.0000	1.0000	1.0000	
0.7337	0.0000	0.0000	0.0000	0.0000	0.0001	0.0113	1.0000	1.0000	1.0000	1.0000	1.0000	
0.7387	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.7437	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.7487	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.7538	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.7588	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.7638	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.7688	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.7739	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.7789	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.7839	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.7889	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.7940	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.7990	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.8040	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.8090	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.8141	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.8191	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.8241	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.8291	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.8342	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.8392	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.8442	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.8492	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.8543	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.8593	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.8643	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.8693	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.8744	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.8794	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.8844	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.8894	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.8945	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.8995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.9045	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.9095	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.9146	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.9196	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.9246	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.9296	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.9347	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.9397	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.9447	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.9497	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.9548	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.9598	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.9648	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.9698	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.9749	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.9799	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.9849	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.9899	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.9950	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
