S	b_eq	b_neq	tangent_eq,	tangent_neq
0.173	0.042	0.219	0.209	0.418
0.174	0.043	0.222	0.210	0.420
0.175	0.043	0.225	0.211	0.423
0.176	0.044	0.228	0.213	0.425
0.177	0.044	0.231	0.214	0.428
0.178	0.045	0.235	0.215	0.430
0.179	0.045	0.238	0.216	0.433
0.180	0.046	0.241	0.217	0.435
0.181	0.047	0.244	0.219	0.437
0.182	0.047	0.247	0.220	0.440
0.183	0.048	0.251	0.221	0.442
0.184	0.048	0.254	0.222	0.445
0.185	0.049	0.257	0.224	0.447
0.186	0.050	0.260	0.225	0.449
0.187	0.050	0.264	0.226	0.452
0.188	0.051	0.267	0.227	0.454
0.189	0.052	0.270	0.228	0.457
0.190	0.052	0.274	0.230	0.459
0.191	0.053	0.277	0.231	0.462
0.192	0.054	0.281	0.232	0.464
0.193	0.054	0.284	0.233	0.466
0.194	0.055	0.287	0.234	0.469
0.195	0.056	0.291	0.236	0.471
0.196	0.056	0.294	0.237	0.474
0.197	0.057	0.298	0.238	0.476
0.198	0.058	0.301	0.239	0.478
0.199	0.058	0.305	0.240	0.481
0.200	0.059	0.308	0.242	0.483
0.201	0.060	0.312	0.243	0.486
0.202	0.060	0.316	0.244	0.488
0.203	0.061	0.319	0.245	0.491
0.204	0.062	0.323	0.246	0.493
0.205	0.062	0.326	0.248	0.495
0.206	0.063	0.330	0.249	0.498
0.207	0.064	0.334	0.250	0.500
0.208	0.065	0.337	0.251	0.503
0.209	0.065	0.341	0.253	0.505
0.210	0.066	0.345	0.254	0.507
0.211	0.067	0.348	0.255	0.510
0.212	0.068	0.352	0.256	0.512
0.213	0.068	0.356	0.257	0.515
0.214	0.069	0.360	0.259	0.517
0.215	0.070	0.364	0.260	0.520
0.216	0.071	0.367	0.261	0.522
0.217	0.071	0.371	0.262	0.524
0.218	0.072	0.375	0.263	0.527
0.219	0.073	0.379	0.265	0.529
0.220	0.074	0.383	0.266	0.532
0.221	0.075	0.386	0.267	0.534
0.222	0.075	0.390	0.268	0.536
0.223	0.076	0.394	0.269	0.539
0.224	0.077	0.398	0.271	0.541
0.225	0.078	0.402	0.272	0.544
0.226	0.079	0.406	0.273	0.546
0.227	0.080	0.410	0.274	0.549
0.228	0.080	0.414	0.275	0.551
0.229	0.081	0.417	0.277	0.553
0.230	0.082	0.421	0.278	0.556
0.231	0.083	0.425	0.279	0.558
0.232	0.084	0.429	0.280	0.561
0.233	0.085	0.433	0.282	0.563
0.234	0.086	0.437	0.283	0.565
0.235	0.086	0.441	0.284	0.568
0.236	0.087	0.445	0.285	0.570
0.237	0.088	0.449	0.286	0.573
0.238	0.089	0.453	0.288	0.575
0.239	0.090	0.457	0.289	0.578
0.240	0.091	0.461	0.290	0.580
0.241	0.092	0.465	0.291	0.582
0.242	0.093	0.469	0.292	0.585
0.243	0.094	0.473	0.294	0.587
0.244	0.095	0.477	0.295	0.590
0.245	0.095	0.481	0.296	0.592
0.246	0.096	0.485	0.297	0.594
0.247	0.097	0.489	0.298	0.597
0.248	0.098	0.493	0.300	0.599
0.249	0.099	0.497	0.301	0.602
0.250	0.100	0.501	0.302	0.604
0.251	0.101	0.505	0.303	0.607
0.252	0.102	0.509	0.304	0.609
0.253	0.103	0.513	0.306	0.611
0.254	0.104	0.517	0.307	0.614
0.255	0.105	0.521	0.308	0.616
0.256	0.106	0.525	0.309	0.619
0.257	0.107	0.529	0.311	0.621
0.258	0.108	0.533	0.312	0.623
0.259	0.109	0.537	0.313	0.626
0.260	0.110	0.541	0.314	0.628
0.261	0.111	0.545	0.315	0.631
0.262	0.112	0.549	0.317	0.633
0.263	0.113	0.553	0.318	0.636
0.264	0.114	0.557	0.319	0.638
0.265	0.115	0.561	0.320	0.640
0.266	0.116	0.565	0.321	0.643
0.267	0.117	0.569	0.323	0.645
0.268	0.118	0.573	0.324	0.648
0.269	0.120	0.577	0.325	0.650
0.270	0.121	0.581	0.326	0.652
0.271	0.122	0.584	0.327	0.655
0.272	0.123	0.588	0.329	0.657
0.273	0.124	0.592	0.330	0.660
0.274	0.125	0.596	0.331	0.662
0.275	0.126	0.600	0.332	0.665
0.276	0.127	0.604	0.333	0.667
0.277	0.128	0.608	0.335	0.669
0.278	0.129	0.612	0.336	0.672
0.279	0.131	0.616	0.337	0.674
0.280	0.132	0.619	0.338	0.677
0.281	0.133	0.623	0.340	0.679
0.282	0.134	0.627	0.341	0.681
0.283	0.135	0.631	0.342	0.684
0.284	0.136	0.635	0.343	0.686
0.285	0.137	0.638	0.344	0.689
0.286	0.139	0.642	0.346	0.691
0.287	0.140	0.646	0.347	0.694
0.288	0.141	0.650	0.348	0.696
0.289	0.142	0.653	0.349	0.698
0.290	0.143	0.657	0.350	0.701
0.291	0.145	0.661	0.352	0.703
0.292	0.146	0.664	0.353	0.706
0.293	0.147	0.668	0.354	0.708
0.294	0.148	0.672	0.355	0.710
0.295	0.149	0.675	0.356	0.713
0.296	0.151	0.679	0.358	0.715
0.297	0.152	0.683	0.359	0.718
0.298	0.153	0.686	0.360	0.720
0.299	0.154	0.690	0.361	0.723
0.300	0.156	0.693	0.362	0.725
0.301	0.157	0.697	0.364	0.727
0.302	0.158	0.700	0.365	0.730
0.303	0.159	0.704	0.366	0.732
0.304	0.161	0.707	0.367	0.735
0.305	0.162	0.711	0.369	0.737
0.306	0.163	0.714	0.370	0.739
0.307	0.164	0.718	0.371	0.742
0.308	0.166	0.721	0.372	0.744
0.309	0.167	0.725	0.373	0.747
0.310	0.168	0.728	0.375	0.749
0.311	0.170	0.731	0.376	0.752
0.312	0.171	0.735	0.377	0.754
0.313	0.172	0.738	0.378	0.756
0.314	0.174	0.741	0.379	0.759
0.315	0.175	0.745	0.381	0.761
0.316	0.176	0.748	0.382	0.764
0.317	0.178	0.751	0.383	0.766
0.318	0.179	0.754	0.384	0.768
0.319	0.180	0.757	0.385	0.771
0.320	0.182	0.761	0.387	0.773
0.321	0.183	0.764	0.388	0.776
0.322	0.184	0.767	0.389	0.778
0.323	0.186	0.770	0.390	0.781
0.324	0.187	0.773	0.391	0.783
0.325	0.189	0.776	0.393	0.785
0.326	0.190	0.779	0.394	0.788
0.327	0.191	0.782	0.395	0.790
0.328	0.193	0.785	0.396	0.793
0.329	0.194	0.788	0.398	0.795
0.330	0.196	0.791	0.399	0.797
0.331	0.197	0.794	0.400	0.800
0.332	0.199	0.797	0.401	0.802
0.333	0.200	0.800	0.402	0.805
0.334	0.201	0.803	0.404	0.807
0.335	0.203	0.806	0.405	0.810
0.336	0.204	0.809	0.406	0.812
0.337	0.206	0.811	0.407	0.814
0.338	0.207	0.814	0.408	0.817
0.339	0.209	0.817	0.410	0.819
0.340	0.210	0.820	0.411	0.822
0.341	0.212	0.822	0.412	0.824
0.342	0.213	0.825	0.413	0.826
0.343	0.215	0.828	0.414	0.829
0.344	0.216	0.830	0.416	0.831
0.345	0.218	0.833	0.417	0.834
0.346	0.219	0.836	0.418	0.836
0.347	0.221	0.838	0.419	0.839
0.348	0.222	0.841	0.420	0.841
0.349	0.224	0.843	0.422	0.843
0.350	0.225	0.846	0.423	0.846
0.351	0.227	0.848	0.424	0.848
0.352	0.228	0.851	0.425	0.851
0.353	0.230	0.853	0.427	0.853
0.354	0.231	0.855	0.428	0.855
0.355	0.233	0.858	0.429	0.858
0.356	0.235	0.860	0.430	0.860
0.357	0.236	0.863	0.431	0.863
0.358	0.238	0.865	0.433	0.865
0.359	0.239	0.867	0.434	0.868
0.360	0.241	0.869	0.435	0.870
0.361	0.243	0.872	0.436	0.872
0.362	0.244	0.874	0.437	0.875
0.363	0.246	0.876	0.439	0.877
0.364	0.247	0.878	0.440	0.880
0.365	0.249	0.880	0.441	0.882
0.366	0.251	0.883	0.442	0.884
0.367	0.252	0.885	0.443	0.887
0.368	0.254	0.887	0.445	0.889
0.369	0.255	0.889	0.446	0.892
0.370	0.257	0.891	0.447	0.894
0.371	0.259	0.893	0.448	0.897
0.372	0.260	0.895	0.449	0.899
0.373	0.262	0.897	0.451	0.901
0.374	0.264	0.899	0.452	0.904
0.375	0.265	0.901	0.453	0.906
0.376	0.267	0.903	0.454	0.909
0.377	0.269	0.905	0.456	0.911
0.378	0.270	0.906	0.457	0.913
0.379	0.272	0.908	0.458	0.916
0.380	0.274	0.910	0.459	0.918
0.381	0.275	0.912	0.460	0.921
0.382	0.277	0.914	0.462	0.923
0.383	0.279	0.915	0.463	0.926
0.384	0.281	0.917	0.464	0.928
0.385	0.282	0.919	0.465	0.930
0.386	0.284	0.920	0.466	0.933
0.387	0.286	0.922	0.468	0.935
0.388	0.287	0.924	0.469	0.938
0.389	0.289	0.925	0.470	0.940
0.390	0.291	0.927	0.471	0.942
0.391	0.293	0.929	0.472	0.945
0.392	0.294	0.930	0.474	0.947
0.393	0.296	0.932	0.475	0.950
0.394	0.298	0.933	0.476	0.952
0.395	0.300	0.935	0.477	0.955
0.396	0.301	0.936	0.478	0.957
0.397	0.303	0.938	0.480	0.959
0.398	0.305	0.939	0.481	0.962
0.399	0.307	0.940	0.482	0.964
0.400	0.308	0.942	0.483	0.967
0.401	0.310	0.943	0.485	0.969
0.402	0.312	0.944	0.486	0.971
0.403	0.314	0.946	0.487	0.974
0.404	0.316	0.947	0.488	0.976
0.405	0.317	0.948	0.489	0.979
0.406	0.319	0.950	0.491	0.981
0.407	0.321	0.951	0.492	0.984
0.408	0.323	0.952	0.493	0.986
0.409	0.325	0.953	0.494	0.988
0.410	0.326	0.955	0.495	0.991
0.411	0.328	0.956	0.497	0.993
0.412	0.330	0.957	0.498	0.996
0.413	0.332	0.958	0.499	0.998
0.414	0.334	0.959	0.500	1.000
0.415	0.336	0.960	0.501	1.003
0.416	0.337	0.961	0.503	1.005
0.417	0.339	0.962	0.504	1.008
0.418	0.341	0.963	0.505	1.010
0.419	0.343	0.964	0.506	1.013
0.420	0.345	0.965	0.507	1.015
0.421	0.347	0.966	0.509	1.017
0.422	0.348	0.967	0.510	1.020
0.423	0.350	0.968	0.511	1.022
0.424	0.352	0.969	0.512	1.025
0.425	0.354	0.970	0.514	1.027
0.426	0.356	0.971	0.515	1.029
0.427	0.358	0.972	0.516	1.032
0.428	0.360	0.973	0.517	1.034
0.429	0.362	0.974	0.518	1.037
0.430	0.364	0.975	0.520	1.039
0.431	0.365	0.975	0.521	1.042
0.432	0.367	0.976	0.522	1.044
0.433	0.369	0.977	0.523	1.046
0.434	0.371	0.978	0.524	1.049
0.435	0.373	0.978	0.526	1.051
0.436	0.375	0.979	0.527	1.054
0.437	0.377	0.980	0.528	1.056
0.438	0.379	0.981	0.529	1.058
0.439	0.381	0.981	0.530	1.061
0.440	0.383	0.982	0.532	1.063
0.441	0.384	0.983	0.533	1.066
0.442	0.386	0.983	0.534	1.068
0.443	0.388	0.984	0.535	1.071
0.444	0.390	0.985	0.536	1.073
0.445	0.392	0.985	0.538	1.075
0.446	0.394	0.986	0.539	1.078
0.447	0.396	0.986	0.540	1.080
0.448	0.398	0.987	0.541	1.083
0.449	0.400	0.988	0.543	1.085
0.450	0.402	0.988	0.544	1.087
0.451	0.404	0.989	0.545	1.090
0.452	0.406	0.989	0.546	1.092
0.453	0.408	0.990	0.547	1.095
0.454	0.410	0.990	0.549	1.097
0.455	0.412	0.991	0.550	1.100
0.456	0.414	0.991	0.551	1.102
0.457	0.416	0.991	0.552	1.104
0.458	0.417	0.992	0.553	1.107
0.459	0.419	0.992	0.555	1.109
0.460	0.421	0.993	0.556	1.112
0.461	0.423	0.993	0.557	1.114
0.462	0.425	0.993	0.558	1.116
0.463	0.427	0.994	0.559	1.119
0.464	0.429	0.994	0.561	1.121
0.465	0.431	0.995	0.562	1.124
0.466	0.433	0.995	0.563	1.126
0.467	0.435	0.995	0.564	1.129
0.468	0.437	0.995	0.565	1.131
0.469	0.439	0.996	0.567	1.133
0.470	0.441	0.996	0.568	1.136
0.471	0.443	0.996	0.569	1.138
0.472	0.445	0.997	0.570	1.141
0.473	0.447	0.997	0.572	1.143
0.474	0.449	0.997	0.573	1.145
0.475	0.451	0.997	0.574	1.148
0.476	0.453	0.998	0.575	1.150
0.477	0.455	0.998	0.576	1.153
0.478	0.457	0.998	0.578	1.155
0.479	0.459	0.998	0.579	1.158
0.480	0.461	0.998	0.580	1.160
0.481	0.463	0.999	0.581	1.162
0.482	0.465	0.999	0.582	1.165
0.483	0.467	0.999	0.584	1.167
0.484	0.469	0.999	0.585	1.170
0.485	0.471	0.999	0.586	1.172
0.486	0.473	0.999	0.587	1.174
0.487	0.475	0.999	0.588	1.177
0.488	0.477	0.999	0.590	1.179
0.489	0.479	1.000	0.591	1.182
0.490	0.481	1.000	0.592	1.184
0.491	0.483	1.000	0.593	1.187
0.492	0.485	1.000	0.594	1.189
0.493	0.487	1.000	0.596	1.191
0.494	0.489	1.000	0.597	1.194
0.495	0.491	1.000	0.598	1.196
0.496	0.493	1.000	0.599	1.199
0.497	0.495	1.000	0.601	1.201
0.498	0.497	1.000	0.602	1.203
0.499	0.499	1.000	0.603	1.206
0.501	0.501	2.000	0.604	1.208
0.502	0.503	2.000	0.605	1.211
0.503	0.505	2.000	0.607	1.213
0.504	0.507	2.000	0.608	1.216
0.505	0.509	2.000	0.609	1.218
0.506	0.511	2.000	0.610	1.220
0.507	0.513	2.000	0.611	1.223
0.508	0.515	2.000	0.613	1.225
0.509	0.517	2.000	0.614	1.228
0.510	0.519	2.000	0.615	1.230
0.511	0.521	2.000	0.616	1.232
0.512	0.523	2.000	0.617	1.235
0.513	0.525	2.000	0.619	1.237
0.514	0.527	2.000	0.620	1.240
0.515	0.529	2.000	0.621	1.242
0.516	0.531	2.000	0.622	1.245
0.517	0.533	2.000	0.623	1.247
0.518	0.535	2.000	0.625	1.249
0.519	0.537	2.000	0.626	1.252
0.520	0.539	2.000	0.627	1.254
0.521	0.541	2.000	0.628	1.257
0.522	0.543	2.000	0.630	1.259
0.523	0.545	2.000	0.631	1.261
0.524	0.547	2.000	0.632	1.264
0.525	0.549	2.000	0.633	1.266
0.526	0.551	2.000	0.634	1.269
0.527	0.553	2.000	0.636	1.271
0.528	0.555	2.000	0.637	1.274
0.529	0.557	2.000	0.638	1.276
0.530	0.559	2.000	0.639	1.278
0.531	0.561	2.000	0.640	1.281
0.532	0.563	2.000	0.642	1.283
0.533	0.565	2.000	0.643	1.286
0.534	0.567	2.000	0.644	1.288
0.535	0.569	2.000	0.645	1.290
0.536	0.571	2.000	0.646	1.293
0.537	0.573	2.000	0.648	1.295
0.538	0.575	2.000	0.649	1.298
0.539	0.577	2.000	0.650	1.300
0.540	0.579	2.000	0.651	1.303
0.541	0.581	2.000	0.652	1.305
0.542	0.583	2.000	0.654	1.307
0.543	0.584	2.000	0.655	1.310
0.544	0.586	2.000	0.656	1.312
0.545	0.588	2.000	0.657	1.315
0.546	0.590	2.000	0.659	1.317
0.547	0.592	2.000	0.660	1.319
0.548	0.594	2.000	0.661	1.322
0.549	0.596	2.000	0.662	1.324
0.550	0.598	2.000	0.663	1.327
0.551	0.600	2.000	0.665	1.329
0.552	0.602	2.000	0.666	1.332
0.553	0.604	2.000	0.667	1.334
0.554	0.606	2.000	0.668	1.336
0.555	0.608	2.000	0.669	1.339
0.556	0.610	2.000	0.671	1.341
0.557	0.612	2.000	0.672	1.344
0.558	0.614	2.000	0.673	1.346
0.559	0.616	2.000	0.674	1.348
0.560	0.617	2.000	0.675	1.351
0.561	0.619	2.000	0.677	1.353
0.562	0.621	2.000	0.678	1.356
0.563	0.623	2.000	0.679	1.358
0.564	0.625	2.000	0.680	1.361
0.565	0.627	2.000	0.681	1.363
0.566	0.629	2.000	0.683	1.365
0.567	0.631	2.000	0.684	1.368
0.568	0.633	2.000	0.685	1.370
0.569	0.635	2.000	0.686	1.373
0.570	0.636	2.000	0.688	1.375
0.571	0.638	2.000	0.689	1.377
0.572	0.640	2.000	0.690	1.380
0.573	0.642	2.000	0.691	1.382
0.574	0.644	2.000	0.692	1.385
0.575	0.646	2.000	0.694	1.387
0.576	0.648	2.000	0.695	1.390
0.577	0.650	2.000	0.696	1.392
0.578	0.652	2.000	0.697	1.394
0.579	0.653	2.000	0.698	1.397
0.580	0.655	2.000	0.700	1.399
0.581	0.657	2.000	0.701	1.402
0.582	0.659	2.000	0.702	1.404
0.583	0.661	2.000	0.703	1.406
0.584	0.663	2.000	0.704	1.409
0.585	0.664	2.000	0.706	1.411
0.586	0.666	2.000	0.707	1.414
0.587	0.668	2.000	0.708	1.416
0.588	0.670	2.000	0.709	1.419
0.589	0.672	2.000	0.710	1.421
0.590	0.674	2.000	0.712	1.423
0.591	0.675	2.000	0.713	1.426
0.592	0.677	2.000	0.714	1.428
0.593	0.679	2.000	0.715	1.431
0.594	0.681	2.000	0.717	1.433
0.595	0.683	2.000	0.718	1.435
0.596	0.684	2.000	0.719	1.438
0.597	0.686	2.000	0.720	1.440
0.598	0.688	2.000	0.721	1.443
0.599	0.690	2.000	0.723	1.445
0.600	0.692	2.000	0.724	1.448
0.601	0.693	2.000	0.725	1.450
0.602	0.695	2.000	0.726	1.452
0.603	0.697	2.000	0.727	1.455
0.604	0.699	2.000	0.729	1.457
0.605	0.700	2.000	0.730	1.460
0.606	0.702	2.000	0.731	1.462
0.607	0.704	2.000	0.732	1.464
0.608	0.706	2.000	0.733	1.467
0.609	0.707	2.000	0.735	1.469
0.610	0.709	2.000	0.736	1.472
0.611	0.711	2.000	0.737	1.474
0.612	0.713	2.000	0.738	1.477
0.613	0.714	2.000	0.739	1.479
0.614	0.716	2.000	0.741	1.481
0.615	0.718	2.000	0.742	1.484
0.616	0.719	2.000	0.743	1.486
0.617	0.721	2.000	0.744	1.489
0.618	0.723	2.000	0.746	1.491
0.619	0.725	2.000	0.747	1.493
0.620	0.726	2.000	0.748	1.496
0.621	0.728	2.000	0.749	1.498
0.622	0.730	2.000	0.750	1.501
0.623	0.731	2.000	0.752	1.503
0.624	0.733	2.000	0.753	1.506
0.625	0.735	2.000	0.754	1.508
0.626	0.736	2.000	0.755	1.510
0.627	0.738	2.000	0.756	1.513
0.628	0.740	2.000	0.758	1.515
0.629	0.741	2.000	0.759	1.518
0.630	0.743	2.000	0.760	1.520
0.631	0.745	2.000	0.761	1.522
0.632	0.746	2.000	0.762	1.525
0.633	0.748	2.000	0.764	1.527
0.634	0.749	2.000	0.765	1.530
0.635	0.751	2.000	0.766	1.532
0.636	0.753	2.000	0.767	1.535
0.637	0.754	2.000	0.768	1.537
0.638	0.756	2.000	0.770	1.539
0.639	0.757	2.000	0.771	1.542
0.640	0.759	2.000	0.772	1.544
0.641	0.761	2.000	0.773	1.547
0.642	0.762	2.000	0.775	1.549
0.643	0.764	2.000	0.776	1.551
0.644	0.765	2.000	0.777	1.554
0.645	0.767	2.000	0.778	1.556
0.646	0.769	2.000	0.779	1.559
0.647	0.770	2.000	0.781	1.561
0.648	0.772	2.000	0.782	1.564
0.649	0.773	2.000	0.783	1.566
0.650	0.775	2.000	0.784	1.568
0.651	0.776	2.000	0.785	1.571
0.652	0.778	2.000	0.787	1.573
0.653	0.779	2.000	0.788	1.576
0.654	0.781	2.000	0.789	1.578
0.655	0.782	2.000	0.790	1.580
0.656	0.784	2.000	0.791	1.583
0.657	0.785	2.000	0.793	1.585
0.658	0.787	2.000	0.794	1.588
0.659	0.788	2.000	0.795	1.590
0.660	0.790	2.000	0.796	1.593
0.661	0.791	2.000	0.797	1.595
0.662	0.793	2.000	0.799	1.597
0.663	0.794	2.000	0.800	1.600
0.664	0.796	2.000	0.801	1.602
0.665	0.797	2.000	0.802	1.605
0.666	0.799	2.000	0.804	1.607
0.667	0.800	2.000	0.805	1.609
0.668	0.801	2.000	0.806	1.612
0.669	0.803	2.000	0.807	1.614
0.670	0.804	2.000	0.808	1.617
0.671	0.806	2.000	0.810	1.619
0.672	0.807	2.000	0.811	1.622
0.673	0.809	2.000	0.812	1.624
0.674	0.810	2.000	0.813	1.626
0.675	0.811	2.000	0.814	1.629
0.676	0.813	2.000	0.816	1.631
0.677	0.814	2.000	0.817	1.634
0.678	0.816	2.000	0.818	1.636
0.679	0.817	2.000	0.819	1.638
0.680	0.818	2.000	0.820	1.641
0.681	0.820	2.000	0.822	1.643
0.682	0.821	2.000	0.823	1.646
0.683	0.822	2.000	0.824	1.648
0.684	0.824	2.000	0.825	1.651
0.685	0.825	2.000	0.826	1.653
0.686	0.826	2.000	0.828	1.655
0.687	0.828	2.000	0.829	1.658
0.688	0.829	2.000	0.830	1.660
0.689	0.830	2.000	0.831	1.663
0.690	0.832	2.000	0.833	1.665
0.691	0.833	2.000	0.834	1.667
0.692	0.834	2.000	0.835	1.670
0.693	0.836	2.000	0.836	1.672
0.694	0.837	2.000	0.837	1.675
0.695	0.838	2.000	0.839	1.677
0.696	0.839	2.000	0.840	1.680
0.697	0.841	2.000	0.841	1.682
